id,y,quartos,area,custo,vagas,mobiliado,bairro,endereco,latitude,longitude,estacao,distancia,linha_amarela,linha_azul,linha_lilas,linha_prata,linha_verde,linha_vermelha,update_time,apartment_link
893410769,0,1,45,2201,1,0,Consolação,Rua Herculano de Freitas,-23.5552073,-46.6526585,Higienopolis Mackenzie,0.69,1,0,0,0,0,0,2021-10-24,https://www.quintoandar.com.br/imovel/893410769
893410917,0,1,35,2948,1,1,Bela Vista,Rua Martiniano de Carvalho,-23.5646347,-46.6421743,Vergueiro,0.49,0,1,0,0,0,0,2021-10-24,https://www.quintoandar.com.br/imovel/893410917
893415230,0,1,28,2884,1,1,Consolação,Rua Augusta,-23.5528525,-46.6539556,Higienopolis Mackenzie,0.46,1,0,0,0,0,0,2021-10-24,https://www.quintoandar.com.br/imovel/893415230
893423927,0,1,50,2996,0,0,Consolação,Rua Avanhandava,-23.5501124,-46.6453012,Anhangabau,0.67,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893423927
893425347,1,2,54,2691,0,0,Bela Vista,Rua Martiniano de Carvalho,-23.5666486,-46.6434788,Vergueiro,0.42,0,1,0,0,0,0,2021-10-24,https://www.quintoandar.com.br/imovel/893425347
892851332,0,1,45,5060,1,1,Jardim Paulista,Alameda Fernão Cardim,-23.567921,-46.6546095,Trianon Masp,0.48,0,0,0,0,1,0,2021-10-24,https://www.quintoandar.com.br/imovel/892851332
893406643,0,2,40,4187,1,0,Consolação,Rua Peixoto Gomide,-23.5590569,-46.6559177,Consolacao,0.45,0,0,0,0,1,0,2021-10-24,https://www.quintoandar.com.br/imovel/893406643
893409296,0,1,27,4628,1,1,Jardim Paulista,Alameda Santos,-23.5666255,-46.6529355,Trianon Masp,0.34,0,0,0,0,1,0,2021-10-24,https://www.quintoandar.com.br/imovel/893409296
893419348,0,3,110,4050,0,0,Bela Vista,Rua Santa Branca,-23.5653026,-46.6486196,Brigadeiro,0.27,0,0,0,0,1,0,2021-10-24,https://www.quintoandar.com.br/imovel/893419348
893428614,0,1,45,2909,0,0,Consolação,Rua Peixoto Gomide,-23.5571564,-46.6552788,Consolacao,0.52,0,0,0,0,1,0,2021-10-24,https://www.quintoandar.com.br/imovel/893428614
893429345,0,1,60,2456,1,0,Bela Vista,Rua Santo Amaro,-23.5523992,-46.6409307,Anhangabau,0.54,0,0,0,0,0,1,2021-10-24,https://www.quintoandar.com.br/imovel/893429345
893429508,0,2,63,3587,0,0,Bela Vista,Rua Doutor Lourenço Granato,-23.5571923,-46.6489599,Trianon Masp,0.87,0,0,0,0,1,0,2021-10-24,https://www.quintoandar.com.br/imovel/893429508
893429747,0,1,42,3472,1,1,Bela Vista,Rua Carlos Sampaio,-23.567556,-46.6454635,Brigadeiro,0.36,0,0,0,0,1,0,2021-10-24,https://www.quintoandar.com.br/imovel/893429747
892827654,0,1,70,3101,1,1,Bela Vista,Rua Treze de Maio,-23.5652588,-46.6452504,Brigadeiro,0.47,0,0,0,0,1,0,2021-10-24,https://www.quintoandar.com.br/imovel/892827654
892828490,0,3,118,5396,1,0,Bela Vista,Rua Carlos Sampaio,-23.5669346,-46.6457713,Brigadeiro,0.33,0,0,0,0,1,0,2021-10-24,https://www.quintoandar.com.br/imovel/892828490
892830268,0,1,43,2645,1,1,Bela Vista,Rua Martiniano de Carvalho,-23.5633851,-46.6422088,Sao Joaquim,0.43,0,1,0,0,0,0,2021-10-24,https://www.quintoandar.com.br/imovel/892830268
892839679,0,1,34,2656,1,0,Bela Vista,Rua Delegado Everton,-23.5529267,-46.6474009,Higienopolis Mackenzie,0.67,1,0,0,0,0,0,2021-10-24,https://www.quintoandar.com.br/imovel/892839679
892845548,0,3,176,11513,2,0,Bela Vista,Rua Pamplona,-23.5601945,-46.6516224,Trianon Masp,0.44,0,0,0,0,1,0,2021-10-24,https://www.quintoandar.com.br/imovel/892845548
892869874,0,1,42,2160,0,0,Bela Vista,Rua Santa Madalena,-23.563103,-46.6437428,Sao Joaquim,0.56,0,1,0,0,0,0,2021-10-24,https://www.quintoandar.com.br/imovel/892869874
892870112,0,2,90,5085,1,1,Bela Vista,Avenida Paulista,-23.5671314,-46.6492416,Brigadeiro,0.07,0,0,0,0,1,0,2021-10-24,https://www.quintoandar.com.br/imovel/892870112
892870551,0,1,28,1311,0,0,Bela Vista,Rua Conselheiro Carrão,-23.5576799,-46.6439685,Sao Joaquim,0.68,0,1,0,0,0,0,2021-10-24,https://www.quintoandar.com.br/imovel/892870551
892874372,0,3,155,4775,1,0,Bela Vista,Rua Treze de Maio,-23.564123,-46.6456802,Brigadeiro,0.52,0,0,0,0,1,0,2021-10-24,https://www.quintoandar.com.br/imovel/892874372
893052998,0,1,47,3551,1,1,Bela Vista,Alameda Ribeirão Preto,-23.5628222,-46.6505683,Trianon Masp,0.35,0,0,0,0,1,0,2021-10-24,https://www.quintoandar.com.br/imovel/893052998
893159854,0,1,52,3236,1,1,Jardim Paulista,Alameda Casa Branca,-23.5647349,-46.6575551,Trianon Masp,0.4,0,0,0,0,1,0,2021-10-24,https://www.quintoandar.com.br/imovel/893159854
893166950,0,2,107,7624,2,0,Jardim Paulista,Alameda Campinas,-23.5674592,-46.6543786,Trianon Masp,0.43,0,0,0,0,1,0,2021-10-24,https://www.quintoandar.com.br/imovel/893166950
